counter,currentDate,external_temp,external_humidity,internal_temp
382,2020-08-25 01:01:49.083557,21.0,62.0,7.0625
383,2020-08-25 01:04:10.413802,21.0,63.0,6.125
384,2020-08-25 01:06:18.871548,21.0,64.0,5.6875
385,2020-08-25 01:08:22.281026,21.0,64.0,5.25
386,2020-08-25 01:10:30.723585,21.0,63.0,5.1875
387,2020-08-25 01:12:34.117295,21.0,63.0,5.0
388,2020-08-25 01:14:37.473543,21.0,63.0,4.8125
389,2020-08-25 01:16:38.283541,21.0,63.0,4.6875
390,2020-08-25 01:18:44.250277,21.0,63.0,4.625
391,2020-08-25 01:20:45.112221,20.0,64.0,4.4375
392,2020-08-25 01:22:50.973617,20.0,64.0,4.3125
393,2020-08-25 01:24:51.837863,20.0,64.0,4.25
394,2020-08-25 01:26:55.336126,20.0,64.0,4.0625
395,2020-08-25 01:28:56.163539,20.0,64.0,3.9375
396,2020-08-25 01:31:04.573491,20.0,64.0,3.8125
397,2020-08-25 01:33:20.654039,20.0,64.0,3.75
398,2020-08-25 01:35:26.553552,20.0,64.0,3.75
Motion,2020-08-25 01:36:48.191140,20.0,64.0,4.9375
399,2020-08-25 01:37:32.413668,20.0,63.0,5.1875
400,2020-08-25 01:39:38.380742,20.0,63.0,4.0625
401,2020-08-25 01:41:46.877476,20.0,63.0,3.625
402,2020-08-25 01:43:47.694934,20.0,64.0,3.5625
403,2020-08-25 01:45:51.303497,20.0,65.0,3.375
404,2020-08-25 01:47:54.698654,21.0,63.0,3.8125
405,2020-08-25 01:50:00.573568,21.0,63.0,4.375
406,2020-08-25 01:52:01.438446,20.0,63.0,4.625
407,2020-08-25 01:54:12.447598,20.0,64.0,4.8125
408,2020-08-25 01:56:15.843545,20.0,63.0,4.9375
409,2020-08-25 01:58:21.775654,20.0,63.0,5.0625
410,2020-08-25 02:00:35.293484,20.0,63.0,5.1875
411,2020-08-25 02:02:41.193547,20.0,64.0,5.3125
412,2020-08-25 02:04:47.129969,20.0,64.0,5.4375
413,2020-08-25 02:06:47.933686,20.0,64.0,5.5625
414,2020-08-25 02:08:48.794446,21.0,62.0,5.625
415,2020-08-25 02:11:02.330204,21.0,62.0,5.75
416,2020-08-25 02:13:03.229358,20.0,63.0,5.9375
417,2020-08-25 02:15:09.157537,20.0,64.0,6.0
418,2020-08-25 02:17:12.483552,20.0,63.0,6.125
419,2020-08-25 02:19:18.412744,20.0,63.0,6.1875
420,2020-08-25 02:21:19.233533,20.0,64.0,6.25
421,2020-08-25 02:23:30.267266,20.0,64.0,6.3125
422,2020-08-25 02:25:33.673460,21.0,62.0,6.375
423,2020-08-25 02:27:39.543529,21.0,62.0,6.5
